,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
297,cut_second,-1.5707963267899998,1,-1,484,4.8155576379800005,17502351.0,148.0
298,cut_first,0.0,1,-1,980,5.4663319152900005,17502351.0,149.0
299,cut_second,-1.5707963267899998,1,-1,980,5.91731979945,17502351.0,149.0
300,cut_first,0.0,1,-1,604,3.5362231955900003,17502351.0,150.0
301,cut_second,-1.5707963267899998,1,-1,604,2.90696673532,17502351.0,150.0
302,cut_first,0.0,1,-1,553,7.437982433939999,17502351.0,151.0
303,cut_second,-1.5707963267899998,1,-1,553,3.9131422236800004,17502351.0,151.0
304,cut_first,0.0,1,-1,223,6.550788203350001,17502351.0,152.0
305,cut_second,-1.5707963267899998,1,-1,223,7.47906844849,17502351.0,152.0
306,cut_first,0.0,1,-1,378,10.2694719226,17502351.0,153.0
307,cut_second,-1.5707963267899998,1,-1,378,7.524779197130001,17502351.0,153.0
308,cut_first,0.0,1,-1,489,4.58033491851,17502351.0,154.0
309,cut_second,-1.5707963267899998,1,-1,489,4.46874995411,17502351.0,154.0
310,cut_first,0.0,1,-1,471,8.16610821912,17502351.0,155.0
311,cut_second,-1.5707963267899998,1,-1,471,8.34905899051,17502351.0,155.0
312,cut_first,0.0,1,-1,368,4.78981869106,17502351.0,156.0
313,cut_second,-1.5707963267899998,1,-1,368,5.77675164858,17502351.0,156.0
314,cut_first,0.0,1,-1,568,6.82472763394,17502351.0,157.0
315,cut_second,-1.5707963267899998,1,-1,568,8.443254548230001,17502351.0,157.0
316,cut_first,0.0,1,-1,982,7.06640955283,17502351.0,158.0
317,cut_second,-1.5707963267899998,1,-1,982,6.85705931576,17502351.0,158.0
318,cut_first,0.0,1,-1,386,7.694775410619999,17502351.0,159.0
319,cut_second,-1.5707963267899998,1,-1,386,5.88617238156,17502351.0,159.0
320,cut_first,0.0,1,-1,20,5.74909712197,17502351.0,160.0
321,cut_second,-1.5707963267899998,1,-1,20,4.01901927649,17502351.0,160.0
322,cut_first,0.0,1,-1,459,6.1489096736,17502351.0,161.0
323,cut_second,-1.5707963267899998,1,-1,459,6.6325000902,17502351.0,161.0
324,cut_first,0.0,1,-1,815,6.440113686830001,17502351.0,162.0
325,cut_second,-1.5707963267899998,1,-1,815,7.96562008626,17502351.0,162.0
326,cut_first,0.0,1,-1,900,6.80946758892,17502351.0,163.0
327,cut_second,-1.5707963267899998,1,-1,900,6.019831857380001,17502351.0,163.0
328,cut_first,0.0,1,-1,785,9.4247104311,17502351.0,164.0
329,cut_second,-1.5707963267899998,1,-1,785,6.81081685136,17502351.0,164.0
330,cut_first,0.0,1,-1,400,8.853586262819999,17502351.0,165.0
331,cut_second,-1.5707963267899998,1,-1,400,8.13368034104,17502351.0,165.0
332,cut_first,0.0,1,-1,51,6.16357550487,17502351.0,166.0
333,cut_second,-1.5707963267899998,1,-1,51,7.16331783045,17502351.0,166.0
334,cut_first,0.0,1,-1,114,6.217535614249999,17502351.0,167.0
335,cut_second,-1.5707963267899998,1,-1,114,9.22081923722,17502351.0,167.0
336,cut_first,0.0,1,-1,905,8.50312957916,17502351.0,168.0
337,cut_second,-1.5707963267899998,1,-1,905,8.3605112151,17502351.0,168.0
338,cut_first,0.0,1,-1,18,6.971111187889999,17502351.0,169.0
339,cut_second,-1.5707963267899998,1,-1,18,6.02728300639,17502351.0,169.0
