,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
216,cut_first,0.0,1,-1,36,9.89662691493,23247348.7004,108.0
217,cut_second,-1.5707963267899998,1,-1,36,11.279622351099999,23247348.7004,108.0
218,cut_first,0.0,1,-1,522,7.658416235289999,20795866.8333,109.0
219,cut_second,-1.5707963267899998,1,-1,522,6.90987665839,20795866.8333,109.0
220,cut_first,0.0,1,-1,874,6.157219555009999,15775933.1237,110.0
221,cut_second,-1.5707963267899998,1,-1,874,5.08378865418,15775933.1237,110.0
222,cut_first,0.0,1,-1,247,9.85430751679,23820645.9492,111.0
223,cut_second,-1.5707963267899998,1,-1,247,9.33759226674,23820645.9492,111.0
224,cut_first,0.0,1,-1,780,10.1453645032,23906423.6943,112.0
225,cut_second,-1.5707963267899998,1,-1,780,11.477834892899999,23906423.6943,112.0
226,cut_first,0.0,1,-1,532,14.664890312999999,30766399.7153,113.0
227,cut_second,-1.5707963267899998,1,-1,532,12.4208224136,30766399.7153,113.0
228,cut_first,0.0,1,-1,765,-1.20548532692,-4706900.510869999,114.0
229,cut_second,-1.5707963267899998,1,-1,765,0.290450769007,-4706900.510869999,114.0
230,cut_first,0.0,1,-1,216,3.92696048059,8741362.12949,115.0
231,cut_second,-1.5707963267899998,1,-1,216,2.68281170631,8741362.12949,115.0
232,cut_first,0.0,1,-1,720,13.7581178778,31195623.5921,116.0
233,cut_second,-1.5707963267899998,1,-1,720,11.5168880576,31195623.5921,116.0
234,cut_first,0.0,1,-1,313,4.36438886084,19075984.6651,117.0
235,cut_second,-1.5707963267899998,1,-1,313,6.66242564816,19075984.6651,117.0
236,cut_first,0.0,1,-1,331,2.67017131304,9700053.563760001,118.0
237,cut_second,-1.5707963267899998,1,-1,331,0.185570250103,9700053.563760001,118.0
238,cut_first,0.0,1,-1,34,7.09985770347,19573321.755999997,119.0
239,cut_second,-1.5707963267899998,1,-1,34,6.12851173717,19573321.755999997,119.0
240,cut_first,0.0,1,-1,726,6.75483179729,16129975.9809,120.0
241,cut_second,-1.5707963267899998,1,-1,726,7.02835008375,16129975.9809,120.0
242,cut_first,0.0,1,-1,533,5.23927104871,19675640.5149,121.0
243,cut_second,-1.5707963267899998,1,-1,533,8.09330559522,19675640.5149,121.0
244,cut_first,0.0,1,-1,226,4.29849649991,14986400.0199,122.0
245,cut_second,-1.5707963267899998,1,-1,226,3.76275321333,14986400.0199,122.0
246,cut_first,0.0,1,-1,768,12.626772346500001,30384758.3304,123.0
247,cut_second,-1.5707963267899998,1,-1,768,12.942762421400001,30384758.3304,123.0
248,cut_first,0.0,1,-1,115,9.375413948039999,22783386.1116,124.0
